ebn0, sigma_ratio, t0, t1, t2, llr0, llr1, llr2, llr3, capacity
0.000000, 0.000000, -0.615000, 0.000000, 0.615000, 3.756501, 1.021216, -1.021216, -3.756501, 0.647434
0.000000, 1.000000, -0.615000, 0.000000, 0.615000, 3.756501, 1.021216, -1.021216, -3.756501, 0.647434
0.500000, 0.000000, -0.570000, 0.000000, 0.570000, 3.961940, 1.064164, -1.064164, -3.961940, 0.687755
0.500000, 1.000000, -0.570000, 0.000000, 0.570000, 3.961940, 1.064164, -1.064164, -3.961940, 0.687755
1.000000, 0.000000, -0.532500, 0.000000, 0.532500, 4.195224, 1.116787, -1.116787, -4.195224, 0.727292
1.000000, 1.000000, -0.532500, 0.000000, 0.532500, 4.195224, 1.116787, -1.116787, -4.195224, 0.727292
1.500000, 0.000000, -0.495000, 0.000000, 0.495000, 4.435977, 1.166744, -1.166744, -4.435977, 0.765494
1.500000, 1.000000, -0.495000, 0.000000, 0.495000, 4.435977, 1.166744, -1.166744, -4.435977, 0.765494
2.000000, 0.000000, -0.457500, 0.000000, 0.457500, 4.683454, 1.212535, -1.212535, -4.683454, 0.801805
2.000000, 1.000000, -0.457500, 0.000000, 0.457500, 4.683454, 1.212535, -1.212535, -4.683454, 0.801805
2.500000, 0.000000, -0.427500, 0.000000, 0.427500, 4.970616, 1.272649, -1.272649, -4.970616, 0.835701
2.500000, 1.000000, -0.427500, 0.000000, 0.427500, 4.970616, 1.272649, -1.272649, -4.970616, 0.835701
3.000000, 0.000000, -0.397500, 0.000000, 0.397500, 5.270063, 1.329722, -1.329722, -5.270063, 0.866704
3.000000, 1.000000, -0.397500, 0.000000, 0.397500, 5.270063, 1.329722, -1.329722, -5.270063, 0.866704
3.500000, 0.000000, -0.367500, 0.000000, 0.367500, 5.581711, 1.382047, -1.382047, -5.581711, 0.894426
3.500000, 1.000000, -0.367500, 0.000000, 0.367500, 5.581711, 1.382047, -1.382047, -5.581711, 0.894426
4.000000, 0.000000, -0.345000, 0.000000, 0.345000, 5.951814, 1.456657, -1.456657, -5.951814, 0.918601
4.000000, 1.000000, -0.345000, 0.000000, 0.345000, 5.951814, 1.456657, -1.456657, -5.951814, 0.918601
4.500000, 0.000000, -0.322500, 0.000000, 0.322500, 6.343934, 1.529295, -1.529295, -6.343934, 0.939094
4.500000, 1.000000, -0.322500, 0.000000, 0.322500, 6.343934, 1.529295, -1.529295, -6.343934, 0.939094
5.000000, 0.000000, -0.292500, 0.000000, 0.292500, 6.702398, 1.561329, -1.561329, -6.702398, 0.955932
5.000000, 1.000000, -0.292500, 0.000000, 0.292500, 6.702398, 1.561329, -1.561329, -6.702398, 0.955932
5.500000, 0.000000, -0.277500, 0.000000, 0.277500, 7.199562, 1.661713, -1.661713, -7.199562, 0.969291
5.500000, 1.000000, -0.277500, 0.000000, 0.277500, 7.199562, 1.661713, -1.661713, -7.199562, 0.969291
6.000000, 0.000000, -0.255000, 0.000000, 0.255000, 7.666184, 1.716928, -1.716928, -7.666184, 0.979480
6.000000, 1.000000, -0.255000, 0.000000, 0.255000, 7.666184, 1.716928, -1.716928, -7.666184, 0.979480
6.500000, 0.000000, -0.240000, 0.000000, 0.240000, 8.238158, 1.813860, -1.813860, -8.238158, 0.986916
6.500000, 1.000000, -0.240000, 0.000000, 0.240000, 8.238158, 1.813860, -1.813860, -8.238158, 0.986916
7.000000, 0.000000, -0.217500, 0.000000, 0.217500, 8.771164, 1.849680, -1.849680, -8.771164, 0.992086
7.000000, 1.000000, -0.217500, 0.000000, 0.217500, 8.771164, 1.849680, -1.849680, -8.771164, 0.992086
7.500000, 0.000000, -0.202500, 0.000000, 0.202500, 9.431177, 1.934292, -1.934292, -9.431177, 0.995487
7.500000, 1.000000, -0.202500, 0.000000, 0.202500, 9.431177, 1.934292, -1.934292, -9.431177, 0.995487
8.000000, 0.000000, -0.187500, 0.000000, 0.187500, 10.145809, 2.012267, -2.012267, -10.145809, 0.997591
8.000000, 1.000000, -0.187500, 0.000000, 0.187500, 10.145809, 2.012267, -2.012267, -10.145809, 0.997591
8.500000, 0.000000, -0.172500, 0.000000, 0.172500, 10.920116, 2.080610, -2.080610, -10.920116, 0.998806
8.500000, 1.000000, -0.172500, 0.000000, 0.172500, 10.920116, 2.080610, -2.080610, -10.920116, 0.998806
9.000000, 0.000000, -0.165000, 0.000000, 0.165000, 11.886627, 2.231928, -2.231928, -11.886627, 0.999455
9.000000, 1.000000, -0.165000, 0.000000, 0.165000, 11.886627, 2.231928, -2.231928, -11.886627, 0.999455
9.500000, 0.000000, -0.150000, 0.000000, 0.150000, 12.810041, 2.281645, -2.281645, -12.810041, 0.999773
9.500000, 1.000000, -0.150000, 0.000000, 0.150000, 12.810041, 2.281645, -2.281645, -12.810041, 0.999773
