# RBER, SIGMA, SIGMA1, SIGMA2, CAPACITY, T0, LLR0, LLR1
5.000000000000000104e-04 6.124414727869986752e-01 4.287090309508990726e-01 1.837324418360996026e-01 0.000000000000000000e+00 3.671441741137804193e-01 8.158387918812765705e+00 -7.244508394682458885e+00
1.995000000000000245e-03 7.016275266077317552e-01 4.911392686254121842e-01 2.104882579823195154e-01 0.000000000000000000e+00 3.570807488891163395e-01 6.784898302554562832e+00 -5.854926890168283826e+00
3.490000000000000047e-03 7.497733967239247344e-01 5.248413777067473251e-01 2.249320190171774092e-01 0.000000000000000000e+00 3.511242480681107669e-01 6.230523412088485813e+00 -5.292073491377886185e+00
4.984999999999999848e-03 7.858120273636205466e-01 5.500684191545343049e-01 2.357436082090861584e-01 0.000000000000000000e+00 3.464298305614297857e-01 5.877218239308715120e+00 -4.932615389353157909e+00
6.479999999999999649e-03 8.156683223280729589e-01 5.709678256296509824e-01 2.447004966984218655e-01 0.000000000000000000e+00 3.423898611922487900e-01 5.617294511750404951e+00 -4.667750470609892233e+00
7.974999999999999450e-03 8.416936518432935888e-01 5.891855562903054455e-01 2.525080955529880877e-01 0.000000000000000000e+00 3.387579940993842853e-01 5.411523157717834209e+00 -4.457801098586885225e+00
9.470000000000000986e-03 8.650848208630514957e-01 6.055593746041360026e-01 2.595254462589154376e-01 0.000000000000000000e+00 3.354069448694022570e-01 5.241146450485927311e+00 -4.283778828923532345e+00
1.096500000000000079e-02 8.865420969076566182e-01 6.205794678353595550e-01 2.659626290722969522e-01 0.000000000000000000e+00 3.322613544326619150e-01 5.095725262532970312e+00 -4.135108421293699266e+00
1.246000000000000059e-02 9.065140628060082140e-01 6.345598439642057276e-01 2.719542188418024309e-01 0.000000000000000000e+00 3.292724717036536464e-01 4.968848689962234388e+00 -4.005291187494284699e+00
1.395500000000000039e-02 9.253070672522940576e-01 6.477149470766058181e-01 2.775921201756881840e-01 0.000000000000000000e+00 3.264067167773040956e-01 4.856296116693631149e+00 -3.890046218844845249e+00
1.545000000000000019e-02 9.431405630767568660e-01 6.601983941537297174e-01 2.829421689230270376e-01 0.000000000000000000e+00 3.236398478408158419e-01 4.755140895979733884e+00 -3.786403467807452294e+00
1.694500000000000173e-02 9.601776993025196161e-01 6.721243895117636757e-01 2.880533097907558848e-01 0.000000000000000000e+00 3.209537124550868592e-01 4.663270221184458109e+00 -3.692217727625673351e+00
1.844000000000000153e-02 9.765434234423928661e-01 6.835803964096749397e-01 2.929630270327178709e-01 0.000000000000000000e+00 3.183343126888932839e-01 4.579108880175632557e+00 -3.605888884216295942e+00
1.993500000000000133e-02 9.923357841433384507e-01 6.946350489003368933e-01 2.977007352430015019e-01 0.000000000000000000e+00 3.157705900924542286e-01 4.501451091343394495e+00 -3.526191555971982972e+00
2.143000000000000113e-02 1.007633302381572449e+00 7.053433116671006253e-01 3.022899907144717124e-01 0.000000000000000000e+00 3.132536292249831766e-01 4.429353342431912033e+00 -3.452166494724413504e+00
2.292500000000000093e-02 1.022499955232359481e+00 7.157499686626516144e-01 3.067499865697078110e-01 0.000000000000000000e+00 3.107761166467920000e-01 4.362063466023591296e+00 -3.383048685587411786e+00
2.442000000000000073e-02 1.036988649411902719e+00 7.258920545883318365e-01 3.110965948235708267e-01 0.000000000000000000e+00 3.083319622568417295e-01 4.298972175591249112e+00 -3.318218200762811154e+00
2.591500000000000054e-02 1.051143705902332970e+00 7.358005941316330123e-01 3.153431117706999021e-01 0.000000000000000000e+00 3.059160273835155319e-01 4.239579033448461765e+00 -3.257165677973533846e+00
