# RBER, SIGMA, SIGMA1, SIGMA2, CAPACITY, T0, T1, T2, LLR0, LLR1, LLR2, LLR3
5.000000000000000104e-04 6.078054254533340472e-01 3.039027127266670236e-01 3.039027127266670236e-01 9.972755350696349552e-01 -1.875000000000000000e-01 0.000000000000000000e+00 1.875000000000000000e-01 9.969551256248974980e+00 1.970503306341030436e+00 -1.970503306341151228e+00 -9.969551256248740501e+00
1.995000000000000245e-03 6.946974168143275064e-01 3.473487084071637532e-01 3.473487084071637532e-01 9.897102053771271724e-01 -2.250000000000000056e-01 0.000000000000000000e+00 2.250000000000000056e-01 8.453703978107212080e+00 1.803975809513037820e+00 -1.803975809513072459e+00 -8.453703978107105499e+00
3.490000000000000047e-03 7.413456365537742787e-01 3.706728182768871394e-01 3.706728182768871394e-01 9.824704550244504064e-01 -2.474999999999999978e-01 0.000000000000000000e+00 2.474999999999999978e-01 7.848628829188176503e+00 1.738664698065265357e+00 -1.738664698065275127e+00 -7.848628829188071698e+00
4.984999999999999848e-03 7.761359748793875690e-01 3.880679874396937845e-01 3.880679874396937845e-01 9.754221796405395661e-01 -2.625000000000000111e-01 0.000000000000000000e+00 2.625000000000000111e-01 7.440112511324723066e+00 1.680665169331674313e+00 -1.680665169331674313e+00 -7.440112511324720401e+00
6.479999999999999649e-03 8.048721902020454788e-01 4.024360951010227394e-01 4.024360951010227394e-01 9.685163086582184722e-01 -2.775000000000000244e-01 0.000000000000000000e+00 2.775000000000000244e-01 7.157542133813758589e+00 1.649640225843536534e+00 -1.649640225843542307e+00 -7.157542133813776353e+00
7.974999999999999450e-03 8.298556678307553724e-01 4.149278339153776862e-01 4.149278339153776862e-01 9.617257300636780082e-01 -2.849999999999999756e-01 0.000000000000000000e+00 2.849999999999999756e-01 6.886954660076254342e+00 1.594041943098713388e+00 -1.594041943098721825e+00 -6.886954660076231249e+00
9.470000000000000986e-03 8.522570626057033305e-01 4.261285313028516653e-01 4.261285313028516653e-01 9.550334062326829576e-01 -2.999999999999999889e-01 0.000000000000000000e+00 2.999999999999999889e-01 6.723922401985540809e+00 1.587836792167351740e+00 -1.587836792167348632e+00 -6.723922401985564790e+00
1.096500000000000079e-02 8.727609999099468219e-01 4.363804999549734109e-01 4.363804999549734109e-01 9.484289253688891197e-01 -3.074999999999999956e-01 0.000000000000000000e+00 3.074999999999999956e-01 6.537472473458918465e+00 1.551731057857531848e+00 -1.551731057857537621e+00 -6.537472473458887379e+00
1.246000000000000059e-02 8.918058476186588868e-01 4.459029238093294434e-01 4.459029238093294434e-01 9.419005241013759244e-01 -3.150000000000000022e-01 0.000000000000000000e+00 3.150000000000000022e-01 6.377465403012928746e+00 1.522014196098392613e+00 -1.522014196098391947e+00 -6.377465403012923417e+00
1.395500000000000039e-02 9.096908523532053481e-01 4.548454261766026741e-01 4.548454261766026741e-01 9.354419775048582464e-01 -3.225000000000000089e-01 0.000000000000000000e+00 3.225000000000000089e-01 6.237660264793118969e+00 1.497064940898776175e+00 -1.497064940898773511e+00 -6.237660264793143838e+00
1.545000000000000019e-02 9.266302895489466618e-01 4.633151447744733309e-01 4.633151447744733309e-01 9.290480862859764599e-01 -3.300000000000000155e-01 0.000000000000000000e+00 3.300000000000000155e-01 6.113753029412586137e+00 1.475777278597619313e+00 -1.475777278597622866e+00 -6.113753029412582585e+00
1.694500000000000173e-02 9.427833901262189231e-01 4.713916950631094616e-01 4.713916950631094616e-01 9.227144146287353799e-01 -3.374999999999999667e-01 0.000000000000000000e+00 3.374999999999999667e-01 6.002653388506299592e+00 1.457365971910550284e+00 -1.457365971910550284e+00 -6.002653388506291599e+00
1.844000000000000153e-02 9.582720446731859409e-01 4.791360223365929705e-01 4.791360223365929705e-01 9.164371214965235657e-01 -3.449999999999999734e-01 0.000000000000000000e+00 3.449999999999999734e-01 5.902069843859089282e+00 1.441255491634770847e+00 -1.441255491634770625e+00 -5.902069843859084841e+00
1.993500000000000133e-02 9.731918551027577413e-01 4.865959275513788707e-01 4.865959275513788707e-01 9.102128448887651935e-01 -3.524999999999999800e-01 0.000000000000000000e+00 3.524999999999999800e-01 5.810257837034006556e+00 1.427012908524673218e+00 -1.427012908524673218e+00 -5.810257837034015438e+00
2.143000000000000113e-02 9.876193407557457560e-01 4.938096703778728780e-01 4.938096703778728780e-01 9.040386182537766269e-01 -3.599999999999999867e-01 0.000000000000000000e+00 3.599999999999999867e-01 5.725859692402602619e+00 1.414305452165948385e+00 -1.414305452165950383e+00 -5.725859692402592849e+00
2.292500000000000093e-02 1.001616809690613508e+00 5.008084048453067538e-01 5.008084048453067538e-01 8.979118076047393204e-01 -3.674999999999999933e-01 0.000000000000000000e+00 3.674999999999999933e-01 5.647798975944379407e+00 1.402872636093095648e+00 -1.402872636093093872e+00 -5.647798975944384736e+00
2.442000000000000073e-02 1.015235753283321829e+00 5.076178766416609145e-01 5.076178766416609145e-01 8.918300626438658840e-01 -3.750000000000000000e-01 0.000000000000000000e+00 3.750000000000000000e-01 5.575208507078407649e+00 1.392507357752616359e+00 -1.392507357752616803e+00 -5.575208507078399656e+00
2.591500000000000054e-02 1.028519274023858010e+00 5.142596370119290050e-01 5.142596370119290050e-01 8.857916155479643727e-01 -3.750000000000000000e-01 0.000000000000000000e+00 3.750000000000000000e-01 5.466961489145264252e+00 1.358214892880401647e+00 -1.358214892880401869e+00 -5.466961489145253594e+00
2.741000000000000034e-02 1.041503861292347510e+00 5.207519306461737552e-01 5.207519306461737552e-01 8.797988150545804631e-01 -3.825000000000000067e-01 0.000000000000000000e+00 3.825000000000000067e-01 5.404197591945577805e+00 1.350179326363907029e+00 -1.350179326363907251e+00 -5.404197591945586687e+00
2.890500000000000014e-02 1.054220715952071341e+00 5.271103579760356705e-01 5.271103579760356705e-01 8.738457559221001203e-01 -3.900000000000000133e-01 0.000000000000000000e+00 3.900000000000000133e-01 5.345072662502460936e+00 1.342760026557910269e+00 -1.342760026557909603e+00 -5.345072662502466265e+00
3.039999999999999994e-02 1.066696755620478276e+00 5.333483778102391382e-01 5.333483778102391382e-01 8.679308346045233602e-01 -3.975000000000000200e-01 0.000000000000000000e+00 3.975000000000000200e-01 5.289178753061486660e+00 1.335867376831395337e+00 -1.335867376831395781e+00 -5.289178753061479554e+00
3.189499999999999974e-02 1.078955389398293274e+00 5.394776946991466371e-01 5.394776946991466371e-01 8.620525997060735079e-01 -4.049999999999999711e-01 0.000000000000000000e+00 4.049999999999999711e-01 5.236168766862217439e+00 1.329426353862035226e+00 -1.329426353862034116e+00 -5.236168766862223656e+00
3.339000000000000301e-02 1.091017123178005699e+00 5.455085615890028494e-01 5.455085615890028494e-01 8.562116561186527974e-01 -4.049999999999999711e-01 0.000000000000000000e+00 4.049999999999999711e-01 5.149443007054660626e+00 1.301428286951396451e+00 -1.301428286951397117e+00 -5.149443007054655297e+00
3.488499999999999934e-02 1.102900038456055221e+00 5.514500192280276103e-01 5.514500192280276103e-01 8.504094763121371470e-01 -4.124999999999999778e-01 0.000000000000000000e+00 4.124999999999999778e-01 5.102036812881697969e+00 1.296227259703183643e+00 -1.296227259703185197e+00 -5.102036812881691752e+00
3.638000000000000261e-02 1.114620175336550112e+00 5.573100876682750560e-01 5.573100876682750560e-01 8.446405307888853464e-01 -4.199999999999999845e-01 0.000000000000000000e+00 4.199999999999999845e-01 5.056707822284661091e+00 1.291292242325950745e+00 -1.291292242325951634e+00 -5.056707822284662868e+00
3.787499999999999895e-02 1.126191842022614020e+00 5.630959210113070101e-01 5.630959210113070101e-01 8.389037916091213187e-01 -4.274999999999999911e-01 0.000000000000000000e+00 4.274999999999999911e-01 5.013263385402471073e+00 1.286585712511984614e+00 -1.286585712511984836e+00 -5.013263385402470185e+00
3.937000000000000222e-02 1.137627867233207635e+00 5.688139336166038174e-01 5.688139336166038174e-01 8.332011044628514496e-01 -4.274999999999999911e-01 0.000000000000000000e+00 4.274999999999999911e-01 4.937913457740040535e+00 1.261968452593197121e+00 -1.261968452593197343e+00 -4.937913457740034318e+00
4.086499999999999855e-02 1.148939807826953485e+00 5.744699039134767427e-01 5.744699039134767427e-01 8.275332547496709878e-01 -4.349999999999999978e-01 0.000000000000000000e+00 4.349999999999999978e-01 4.898332538309414730e+00 1.258064030166115010e+00 -1.258064030166113012e+00 -4.898332538309421835e+00
4.236000000000000182e-02 1.160138120921883509e+00 5.800690604609417544e-01 5.800690604609417544e-01 8.218950649533205421e-01 -4.425000000000000044e-01 0.000000000000000000e+00 4.425000000000000044e-01 4.860164353419485828e+00 1.254286715929793905e+00 -1.254286715929796348e+00 -4.860164353419477834e+00
4.385499999999999815e-02 1.171232307615872381e+00 5.856161538079361906e-01 5.856161538079361906e-01 8.162857978571955719e-01 -4.500000000000000111e-01 0.000000000000000000e+00 4.500000000000000111e-01 4.823292503624574401e+00 1.250616558816006085e+00 -1.250616558816006529e+00 -4.823292503624576177e+00
4.535000000000000142e-02 1.182231033798539555e+00 5.911155168992697773e-01 5.911155168992697773e-01 8.107111352430607099e-01 -4.500000000000000111e-01 0.000000000000000000e+00 4.500000000000000111e-01 4.756284428494565120e+00 1.228493157478250941e+00 -1.228493157478249609e+00 -4.756284428494564231e+00
4.684499999999999775e-02 1.193142232338841646e+00 5.965711161694208231e-01 5.965711161694208231e-01 8.051652666385551438e-01 -4.574999999999999623e-01 0.000000000000000000e+00 4.574999999999999623e-01 4.722208422877604228e+00 1.225365500457389567e+00 -1.225365500457388013e+00 -4.722208422877608669e+00
4.834000000000000102e-02 1.203973190021052853e+00 6.019865950105264263e-01 6.019865950105264263e-01 7.996464063920249998e-01 -4.649999999999999689e-01 0.000000000000000000e+00 4.649999999999999689e-01 4.689131861244238308e+00 1.222286025634117257e+00 -1.222286025634117923e+00 -4.689131861244238308e+00
4.983500000000000429e-02 1.214730621906255026e+00 6.073653109531275129e-01 6.073653109531275129e-01 7.941578782344003162e-01 -4.649999999999999689e-01 0.000000000000000000e+00 4.649999999999999689e-01 4.627194746605177933e+00 1.201713665030418099e+00 -1.201713665030418099e+00 -4.627194746605178821e+00
5.133000000000000063e-02 1.225420735260814631e+00 6.127103676304073154e-01 6.127103676304073154e-01 7.886991486378138738e-01 -4.724999999999999756e-01 0.000000000000000000e+00 4.724999999999999756e-01 4.596357809869687117e+00 1.199041984688723028e+00 -1.199041984688723028e+00 -4.596357809869690669e+00
5.282500000000000390e-02 1.236049284777263946e+00 6.180246423886319729e-01 6.180246423886319729e-01 7.832658555133508171e-01 -4.799999999999999822e-01 0.000000000000000000e+00 4.799999999999999822e-01 4.566303507612692769e+00 1.196378594578289434e+00 -1.196378594578288324e+00 -4.566303507612698986e+00
5.432000000000000023e-02 1.246621620487178950e+00 6.233108102435894748e-01 6.233108102435894748e-01 7.778597764784910273e-01 -4.799999999999999822e-01 0.000000000000000000e+00 4.799999999999999822e-01 4.508597145878442625e+00 1.177105014286339957e+00 -1.177105014286339957e+00 -4.508597145878437296e+00
5.581500000000000350e-02 1.257142729508646584e+00 6.285713647543232918e-01 6.285713647543232918e-01 7.724838326178652403e-01 -4.874999999999999889e-01 0.000000000000000000e+00 4.874999999999999889e-01 4.480366726408776756e+00 1.174751664710339760e+00 -1.174751664710340648e+00 -4.480366726408772315e+00
5.730999999999999983e-02 1.267617272566594622e+00 6.338086362832973109e-01 6.338086362832973109e-01 7.671320275195282479e-01 -4.949999999999999956e-01 0.000000000000000000e+00 4.949999999999999956e-01 4.452756668150525954e+00 1.172379260927470579e+00 -1.172379260927471467e+00 -4.452756668150520625e+00
5.880500000000000310e-02 1.278049616060955795e+00 6.390248080304778977e-01 6.390248080304778977e-01 7.618051715322249340e-01 -4.949999999999999956e-01 0.000000000000000000e+00 4.949999999999999956e-01 4.398635997806006337e+00 1.154210660834670721e+00 -1.154210660834670499e+00 -4.398635997806009001e+00
6.029999999999999943e-02 1.288443860326053292e+00 6.442219301630266459e-01 6.442219301630266459e-01 7.565083267842259707e-01 -5.024999999999999467e-01 0.000000000000000000e+00 5.024999999999999467e-01 4.372531879767621810e+00 1.152075841754808927e+00 -1.152075841754808261e+00 -4.372531879767625362e+00
6.179500000000000270e-02 1.298803864618116810e+00 6.494019323090584050e-01 6.494019323090584050e-01 7.512345445691672730e-01 -5.099999999999998979e-01 0.000000000000000000e+00 5.099999999999998979e-01 4.346924166883642471e+00 1.149903110517591864e+00 -1.149903110517592975e+00 -4.346924166883639806e+00
6.328999999999999904e-02 1.309133269281113066e+00 6.545666346405565328e-01 6.545666346405565328e-01 7.459840554260757095e-01 -5.099999999999998979e-01 0.000000000000000000e+00 5.099999999999998979e-01 4.295883255953504509e+00 1.132687367198272677e+00 -1.132687367198272455e+00 -4.295883255953507174e+00
6.478499999999999537e-02 1.319435515470036346e+00 6.597177577350181732e-01 6.597177577350181732e-01 7.407631652392956401e-01 -5.174999999999999600e-01 0.000000000000000000e+00 5.174999999999999600e-01 4.271533614444239291e+00 1.130697575623560880e+00 -1.130697575623560214e+00 -4.271533614444239291e+00
6.628000000000000558e-02 1.329713862752402775e+00 6.648569313762013877e-01 6.648569313762013877e-01 7.355644414498889727e-01 -5.249999999999999112e-01 0.000000000000000000e+00 5.249999999999999112e-01 4.247584059933990019e+00 1.128656886872420273e+00 -1.128656886872419829e+00 -4.247584059933988243e+00
6.777500000000000191e-02 1.339971404860336834e+00 6.699857024301684172e-01 6.699857024301684172e-01 7.303877671802541105e-01 -5.249999999999999112e-01 0.000000000000000000e+00 5.249999999999999112e-01 4.199218841726783502e+00 1.112272390179277037e+00 -1.112272390179277703e+00 -4.199218841726780838e+00
6.926999999999999824e-02 1.350211083825537228e+00 6.751055419127686141e-01 6.751055419127686141e-01 7.252401315395138326e-01 -5.324999999999999734e-01 0.000000000000000000e+00 5.324999999999999734e-01 4.176330936369761382e+00 1.110372834243226636e+00 -1.110372834243226636e+00 -4.176330936369761382e+00
7.076499999999999457e-02 1.360435702695902416e+00 6.802178513479512079e-01 6.802178513479512079e-01 7.201139133233485090e-01 -5.399999999999999245e-01 0.000000000000000000e+00 5.399999999999999245e-01 4.153767186125961963e+00 1.108413536879623296e+00 -1.108413536879623518e+00 -4.153767186125961963e+00
7.226000000000000478e-02 1.370647937004543238e+00 6.853239685022716188e-01 6.853239685022716188e-01 7.150089608470853175e-01 -5.474999999999999867e-01 0.000000000000000000e+00 5.474999999999999867e-01 4.131508101740030803e+00 1.106394270716317907e+00 -1.106394270716319017e+00 -4.131508101740027250e+00
7.375500000000000111e-02 1.380850345138320279e+00 6.904251725691601393e-01 6.904251725691601393e-01 7.099320424953503572e-01 -5.474999999999999867e-01 0.000000000000000000e+00 5.474999999999999867e-01 4.086089933018499210e+00 1.090911000447901014e+00 -1.090911000447902346e+00 -4.086089933018495657e+00
7.524999999999999745e-02 1.391045377733118427e+00 6.955226888665592133e-01 6.955226888665592133e-01 7.048761175711018012e-01 -5.549999999999999378e-01 0.000000000000000000e+00 5.549999999999999378e-01 4.064693532750307980e+00 1.088994848638425994e+00 -1.088994848638426438e+00 -4.064693532750304428e+00
7.674500000000000766e-02 1.401235386206181266e+00 7.006176931030906330e-01 7.006176931030906330e-01 6.998408678666991900e-01 -5.624999999999998890e-01 0.000000000000000000e+00 5.624999999999998890e-01 4.043545187729848500e+00 1.087013420795638785e+00 -1.087013420795638563e+00 -4.043545187729851165e+00
7.824000000000000399e-02 1.411422630521473875e+00 7.057113152607369377e-01 7.057113152607369377e-01 6.948325764449658770e-01 -5.624999999999998890e-01 0.000000000000000000e+00 5.624999999999998890e-01 4.000133637599806669e+00 1.072161346983371732e+00 -1.072161346983371510e+00 -4.000133637599809333e+00
7.973500000000000032e-02 1.421609286271804162e+00 7.108046431359020811e-01 7.108046431359020811e-01 6.898450158462248183e-01 -5.699999999999999512e-01 0.000000000000000000e+00 5.699999999999999512e-01 3.979727301858651423e+00 1.070259306161134738e+00 -1.070259306161134516e+00 -3.979727301858652755e+00
8.122999999999999665e-02 1.431797451150917944e+00 7.158987255754589718e-01 7.158987255754589718e-01 6.848776318257914220e-01 -5.774999999999999023e-01 0.000000000000000000e+00 5.774999999999999023e-01 3.959523212885968313e+00 1.068288648846964506e+00 -1.068288648846964506e+00 -3.959523212885971422e+00
8.272500000000000686e-02 1.441989150879818382e+00 7.209945754399091911e-01 7.209945754399091911e-01 6.799361351800312647e-01 -5.774999999999999023e-01 0.000000000000000000e+00 5.774999999999999023e-01 3.917906087707876850e+00 1.054003434875091072e+00 -1.054003434875091516e+00 -3.917906087707875074e+00
8.422000000000000319e-02 1.452186344643781490e+00 7.260931723218907452e-01 7.260931723218907452e-01 6.750152467106182996e-01 -5.849999999999999645e-01 0.000000000000000000e+00 5.849999999999999645e-01 3.898344469471550333e+00 1.052093405449704200e+00 -1.052093405449704644e+00 -3.898344469471548557e+00
8.571499999999999952e-02 1.462390930089850105e+00 7.311954650449250526e-01 7.311954650449250526e-01 6.701141119532070256e-01 -5.924999999999999156e-01 0.000000000000000000e+00 5.924999999999999156e-01 3.878947711585028379e+00 1.050112862679175585e+00 -1.050112862679175807e+00 -3.878947711585030156e+00
8.720999999999999586e-02 1.472604747928804914e+00 7.363023739644024568e-01 7.363023739644024568e-01 6.652377318423601249e-01 -5.924999999999999156e-01 0.000000000000000000e+00 5.924999999999999156e-01 3.838946030980120661e+00 1.036340159409020911e+00 -1.036340159409021799e+00 -3.838946030980117552e+00
8.870500000000000607e-02 1.482829586180557158e+00 7.414147930902785788e-01 7.414147930902785788e-01 6.603820219807610137e-01 -5.999999999999999778e-01 0.000000000000000000e+00 5.999999999999999778e-01 3.820108904010727002e+00 1.034405325459583525e+00 -1.034405325459583302e+00 -3.820108904010728335e+00
9.020000000000000240e-02 1.493067184097542244e+00 7.465335920487711219e-01 7.465335920487711219e-01 6.555457055274147571e-01 -6.074999999999999289e-01 0.000000000000000000e+00 6.074999999999999289e-01 3.801405900328148846e+00 1.032399147204805745e+00 -1.032399147204805301e+00 -3.801405900328150178e+00
9.169499999999999873e-02 1.503319235796868547e+00 7.516596178984342735e-01 7.516596178984342735e-01 6.507328991867742385e-01 -6.074999999999999289e-01 0.000000000000000000e+00 6.074999999999999289e-01 3.762867340703780261e+00 1.019092624311970008e+00 -1.019092624311970452e+00 -3.762867340703778485e+00
9.318999999999999506e-02 1.513587393628626376e+00 7.567936968143131882e-01 7.567936968143131882e-01 6.459410417346653777e-01 -6.149999999999998801e-01 0.000000000000000000e+00 6.149999999999998801e-01 3.744654480514441275e+00 1.017120236836857483e+00 -1.017120236836856595e+00 -3.744654480514444383e+00
9.468500000000000527e-02 1.523873271304836852e+00 7.619366356524184258e-01 7.619366356524184258e-01 6.411682690691156150e-01 -6.224999999999999423e-01 0.000000000000000000e+00 6.224999999999999423e-01 3.726550315444849382e+00 1.015076463727634382e+00 -1.015076463727633937e+00 -3.726550315444850714e+00
9.618000000000000160e-02 1.534178446810948504e+00 7.670892234054742520e-01 7.670892234054742520e-01 6.364176140273536397e-01 -6.224999999999999423e-01 0.000000000000000000e+00 6.224999999999999423e-01 3.689344195031019957e+00 1.002196304193290199e+00 -1.002196304193290644e+00 -3.689344195031018625e+00
9.767499999999999793e-02 1.544504465119509007e+00 7.722522325597545034e-01 7.722522325597545034e-01 6.316884241947688938e-01 -6.299999999999998934e-01 0.000000000000000000e+00 6.299999999999998934e-01 3.671671478418543799e+00 1.000176772123060775e+00 -1.000176772123060109e+00 -3.671671478418544687e+00
