noise_db, sigma_ratio, sigma1, sigma2, max_mi, middle, neg_offset, pos_offset, llr1, llr2, llr3, llr4
3.000000, 0.200000, 0.447744, 0.895488, 0.724227, -0.200947, 0.577500, 0.330000, 3.378474, 1.414116, -0.878974, -4.962191
3.000000, 0.300000, 0.548372, 0.837653, 0.703950, -0.113394, 0.607500, 0.420000, 3.549259, 1.255470, -0.926006, -4.528764
3.000000, 0.400000, 0.633206, 0.775516, 0.692932, -0.051494, 0.630000, 0.480000, 3.827583, 1.198736, -0.954910, -4.157758
3.000000, 0.500000, 0.707946, 0.707946, 0.690125, 0.000000, 0.630000, 0.517500, 4.184148, 1.178362, -0.988189, -3.848251
3.500000, 0.200000, 0.422698, 0.845396, 0.757927, -0.214759, 0.570000, 0.300000, 3.688178, 1.551716, -0.886163, -5.123643
3.500000, 0.300000, 0.517697, 0.790795, 0.740382, -0.123575, 0.585000, 0.382500, 3.837817, 1.354603, -0.940979, -4.699619
3.500000, 0.400000, 0.597785, 0.732134, 0.731174, -0.056856, 0.600000, 0.442500, 4.105629, 1.281957, -0.986342, -4.358841
3.500000, 0.500000, 0.668344, 0.668344, 0.729248, 0.000000, 0.592500, 0.480000, 4.440830, 1.244277, -1.030055, -4.066278
4.000000, 0.200000, 0.399052, 0.798105, 0.790492, -0.227180, 0.562500, 0.277500, 4.029279, 1.704253, -0.908865, -5.337830
4.000000, 0.300000, 0.488737, 0.746559, 0.775461, -0.132685, 0.562500, 0.352500, 4.148344, 1.460528, -0.967304, -4.909769
4.000000, 0.400000, 0.564345, 0.691179, 0.768026, -0.061639, 0.570000, 0.405000, 4.400137, 1.368189, -1.012124, -4.562922
4.000000, 0.500000, 0.630957, 0.630957, 0.766985, 0.000000, 0.555000, 0.442500, 4.707183, 1.309275, -1.067605, -4.290093
4.500000, 0.200000, 0.376730, 0.753460, 0.821567, -0.238342, 0.555000, 0.247500, 4.405031, 1.873349, -0.901584, -5.501766
4.500000, 0.300000, 0.461398, 0.704797, 0.808758, -0.140834, 0.547500, 0.322500, 4.504348, 1.591691, -0.988049, -5.124671
4.500000, 0.400000, 0.532776, 0.652515, 0.802995, -0.065907, 0.540000, 0.375000, 4.711510, 1.456913, -1.049957, -4.804970
4.500000, 0.500000, 0.595662, 0.595662, 0.802799, 0.000000, 0.517500, 0.412500, 4.982590, 1.372120, -1.117868, -4.549190
5.000000, 0.200000, 0.355656, 0.711312, 0.850794, -0.248364, 0.540000, 0.232500, 4.798930, 2.038961, -0.939663, -5.788520
5.000000, 0.300000, 0.435588, 0.665371, 0.839881, -0.148121, 0.525000, 0.300000, 4.866039, 1.713908, -1.025478, -5.392135
5.000000, 0.400000, 0.502973, 0.616014, 0.835614, -0.069713, 0.510000, 0.345000, 5.040100, 1.547414, -1.082811, -5.054917
5.000000, 0.500000, 0.562341, 0.562341, 0.836188, 0.000000, 0.487500, 0.375000, 5.301375, 1.451012, -1.143544, -4.785207
5.500000, 0.200000, 0.335761, 0.671522, 0.877819, -0.257356, 0.540000, 0.210000, 5.275284, 2.268583, -0.944658, -6.024495
5.500000, 0.300000, 0.411221, 0.628151, 0.868473, -0.154634, 0.510000, 0.270000, 5.283079, 1.866496, -1.032256, -5.618730
5.500000, 0.400000, 0.474837, 0.581555, 0.865480, -0.073108, 0.487500, 0.322500, 5.419760, 1.660969, -1.133547, -5.356255
5.500000, 0.500000, 0.530884, 0.530884, 0.866702, 0.000000, 0.457500, 0.352500, 5.635390, 1.529328, -1.206578, -5.099154
6.000000, 0.200000, 0.316979, 0.633957, 0.902317, -0.265419, 0.532500, 0.195000, 5.778187, 2.498901, -0.975223, -6.341918
6.000000, 0.300000, 0.388218, 0.593013, 0.894264, -0.160454, 0.487500, 0.247500, 5.703457, 2.006296, -1.057433, -5.906100
6.000000, 0.400000, 0.448275, 0.549023, 0.892274, -0.076136, 0.465000, 0.292500, 5.825456, 1.779808, -1.153707, -5.625075
6.000000, 0.500000, 0.501187, 0.501187, 0.893985, 0.000000, 0.427500, 0.322500, 5.984719, 1.605730, -1.241357, -5.389688
6.500000, 0.200000, 0.299247, 0.598494, 0.924004, -0.272644, 0.525000, 0.172500, 6.332637, 2.754180, -0.962731, -6.597374
6.500000, 0.300000, 0.366501, 0.559840, 0.917042, -0.165654, 0.472500, 0.232500, 6.191238, 2.182659, -1.108703, -6.269908
6.500000, 0.400000, 0.423199, 0.518311, 0.915781, -0.078836, 0.442500, 0.270000, 6.258733, 1.903529, -1.193783, -5.954027
6.500000, 0.500000, 0.473151, 0.473151, 0.917799, 0.000000, 0.405000, 0.300000, 6.397739, 1.706695, -1.297023, -5.736349
7.000000, 0.200000, 0.282508, 0.565015, 0.942678, -0.279115, 0.525000, 0.157500, 6.979087, 3.069298, -0.979485, -6.948089
7.000000, 0.300000, 0.346000, 0.528523, 0.936686, -0.170298, 0.465000, 0.210000, 6.763009, 2.405858, -1.120750, -6.588671
7.000000, 0.400000, 0.399526, 0.489317, 0.935904, -0.081244, 0.420000, 0.247500, 6.721261, 2.031531, -1.227253, -6.299955
7.000000, 0.500000, 0.446684, 0.446684, 0.938033, 0.000000, 0.382500, 0.277500, 6.836818, 1.809095, -1.347990, -6.102742
7.500000, 0.200000, 0.266704, 0.533409, 0.958267, -0.284908, 0.517500, 0.142500, 7.658615, 3.386232, -0.988577, -7.320680
7.500000, 0.300000, 0.326645, 0.498958, 0.953181, -0.174445, 0.450000, 0.195000, 7.343917, 2.616029, -1.162966, -6.998067
7.500000, 0.400000, 0.377177, 0.461945, 0.952660, -0.083391, 0.405000, 0.232500, 7.268004, 2.198577, -1.291102, -6.728462
